numberID,Host_p1,Tumers_p1,nH_p1,nT_p1,Host_p2,Tumers_p2,nH_p2,nT_p2,nH,nT,Town,Region,Country,Month_collected,Year_collected
1016,1016H-Dog_p1,1016T-Dog_p1,1,1,,,0,0,1,1,Corozal Town,,Belize,September,2014
1024,,1024T2-Dog_p1,0,1,,,0,0,0,1,Kombo,,The Gambia,July,2014
1025,1025H-Dog_p1,1025T-Dog_p1,1,1,,,0,0,1,1,Maningrida,Northern Territory,Australia,June,2014
1027,1027H-Dog_p1,1027T-Dog_p1,1,1,,,0,0,1,1,Maningrida,Northern Territory,Australia,June,2014
1045,,1045T-Dog_p1,0,1,,,0,0,0,1,Western Australia,,Australia,November,2013
1078,1078H1-Dog_p1,1078T-Dog_p1,1,1,,,0,0,1,1,Jaboticabal,São Paulo State,Brazil,October,2014
1079,1079H1-Dog_p1,1079T-Dog_p1,1,1,,,0,0,1,1,Jaboticabal,São Paulo State,Brazil,October,2014
1085,1085H-Dog_p1,1085T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,August,2014
1087,1087H-Dog_p1,1087T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,August,2014
1093,1093H-Dog_p1,1093T-Dog_p1,1,1,,,0,0,1,1,Paterson,,South Africa,September,2014
1095,1095H-Dog_p1,1095T-Dog_p1,1,1,,,0,0,1,1,Paterson,,South Africa,September,2014
1097,1097H-Dog_p1,1097T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,September,2014
1098,1098H-Dog_p1,1098T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,September,2014
1100,1100H-Dog_p1,1100T-Dog_p1,1,1,,,0,0,1,1,Corozal Town,,Belize,October,2014
1102,,1102T-Dog_p1,0,1,,,0,0,0,1,Kiev,,Ukraine,October,2014
1105,1105H-Dog_p1,1105T-Dog_p1,1,1,,,0,0,1,1,Antonio Ante,,Ecuador,August,2014
1107,1107H-Dog_p1,1107T-Dog_p1,1,1,,,0,0,1,1,Cotacachi,,Ecuador,August,2014
1109,1109H-Dog_p1,1109T-Dog_p1,1,1,,,0,0,1,1,Cotacachi,,Ecuador,August,2014
1110,1110H-Dog_p1,1110T-Dog_p1,1,1,,,0,0,1,1,Cotacachi,,Ecuador,August,2014
1111,,1111T-Dog_p1,0,1,,,0,0,0,1,Antonio Ante,,Ecuador,October,2014
1159,,1159T2-Dog_p1,0,1,,,0,0,0,1,Santiago,,Chile,August,2014
1170,1170H-Dog_p1,1170T-Dog_p1,1,1,,,0,0,1,1,Kombo,,The Gambia,November,2014
1171,1171H-Dog_p1,1171T-Dog_p1,1,1,,,0,0,1,1,Kombo,,The Gambia,November,2014
1174,1174H-Dog_p1,1174T-Dog_p1,1,1,,,0,0,1,1,Kombo,,The Gambia,November,2014
1179,1179H-Dog_p1,1179T-Dog_p1,1,1,,,0,0,1,1,Bodhgaya,,India,December,2014
1180,1180H-Dog_p1,1180T-Dog_p1,1,1,,,0,0,1,1,Bodhgaya,,India,December,2014
1186,1186H-Dog_p1,1186T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,October,2014
1187,1187H-Dog_p1,1187T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,October,2014
1188,1188H-Dog_p1,1188T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,October,2014
1189,1189H-Dog_p1,1189T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,October,2014
1191,1191H-Dog_p1,1191T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,October,2014
1192,1192H-Dog_p1,1192T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,October,2014
1193,1193H-Dog_p1,1193T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,November,2014
1194,1194H-Dog_p1,1194T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,November,2014
1196,1196H-Dog_p1,1196T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,November,2014
1197,,1197T-Dog_p1,0,1,,,0,0,0,1,Port Elizabeth,,South Africa,November,2014
1198,1198H-Dog_p1,1198T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,November,2014
1200,1200H-Dog_p1,1200T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,December,2014
1201,1201H-Dog_p1,1201T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,December,2014
1202,1202H-Dog_p1,1202T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,December,2014
1203,1203H-Dog_p1,1203T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,December,2014
1204,1204H-Dog_p1,1204T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,December,2014
1205,1205H-Dog_p1,1205T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,January,2015
1208,,,0,0,,1208Ta-Dog_p2,0,1,0,1,St.Lous,Missouri,USA,January,2015
1210,,,0,0,,1210Ta-Dog_p2,0,1,0,1,Haulover,,Nicaragua,February,2015
1214,1214H-Dog_p1,1214T-Dog_p1,1,1,,,0,0,1,1,Pearl Lagoon,,Nicaragua,February,2015
1221,1221H-Dog_p1,1221T-Dog_p1,1,1,,,0,0,1,1,Orinoco,,Nicaragua,February,2015
1229,1229H-Dog_p1,1229T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,January,2015
1231,1231H-Dog_p1,1231T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,February,2015
1232,1232H-Dog_p1,1232T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,February,2015
1233,1233H-Dog_p1,1233T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,February,2015
1234,1234H-Dog_p1,1234T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,February,2015
1238,1238H-Dog_p1,1238T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,February,2015
1241,1241H-Dog_p1,1241T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,February,2015
1242,1242H-Dog_p1,1242T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,February,2015
1247,,,0,0,,1247Ta-Dog_p2,0,1,0,1,Maldonado,,Uruguay,March,2015
1253,,1253T-Dog_p1,0,1,,,0,0,0,1,Manizales,,Colombia,March,2015
1254,1254H-Dog_p1,1254T-Dog_p1,1,1,,,0,0,1,1,Manizales,,Colombia,March,2015
1255,,1255T-Dog_p1,0,1,,,0,0,0,1,Manizales,,Colombia,March,2015
1256,,1256T-Dog_p1,0,1,,,0,0,0,1,Manizales,,Colombia,March,2015
1257,,1257T-Dog_p1,0,1,,,0,0,0,1,Manizales,,Colombia,March,2015
1258,,1258T-Dog_p1,0,1,,,0,0,0,1,Manizales,,Colombia,March,2015
1262,1262H-Dog_p1,,1,0,,,0,0,1,0,Guadalajara,Jalisco,Mexico,March,2015
1263,1263H-Dog_p1,,1,0,,,0,0,1,0,Guadalajara,Jalisco,Mexico,March,2015
1264,1264H-Dog_p1,,1,0,,,0,0,1,0,Guadalajara,Jalisco,Mexico,March,2015
126,,,0,0,,126Ta-Dog_p2,0,1,0,1,Grenville,,Grenada,March,2010
1271,1271H-Dog_p1,1271T-Dog_p1,1,1,,,0,0,1,1,Granada,,Nicaragua,March,2014
1281,,,0,0,,1281Ta-Dog_p2,0,1,0,1,Granada,,Nicaragua,June,2014
1296,1296H-Dog_p1,1296T-Dog_p1,1,1,,,0,0,1,1,Granada,,Nicaragua,July,2014
1301,,1301T-Dog_p1,0,1,,,0,0,0,1,Granada,,Nicaragua, September,2014
1302,,1302T-Dog_p1,0,1,,,0,0,0,1,Granada,,Nicaragua, September,2014
1303,1303H-Dog_p1,1303T-Dog_p1,1,1,,,0,0,1,1,Granada,,Nicaragua,July,2014
1305,1305H-Dog_p1,1305T-Dog_p1,1,1,,,0,0,1,1,Granada,,Nicaragua,July,2014
1307,,1307T-Dog_p1,0,1,,,0,0,0,1,Granada,,Nicaragua,August,2014
1308,1308H-Dog_p1,1308T-Dog_p1,1,1,,,0,0,1,1,Granada,,Nicaragua,August,2014
1309,1309H-Dog_p1,1309T-Dog_p1,1,1,,,0,0,1,1,Granada,,Nicaragua,August,2014
1313,,1313T-Dog_p1,0,1,,,0,0,0,1,Granada,,Nicaragua,March,2015
1315,,,0,0,,1315Ta-Dog_p2,0,1,0,1,Granada,,Nicaragua,March,2015
131,,,0,0,,131Ta-Dog_p2,0,1,0,1,La Tante,,Grenada,May,2010
1322,,,0,0,,1322Ta-Dog_p2,0,1,0,1,East district,Sikkim,India,April,2015
1333,,1333T2-Dog_p1,0,1,,,0,0,0,1,Ankara,Yenimadle,Turkey,March,2015
1336,1336H-Dog_p1,,1,0,,,0,0,1,0,Moscow,,Russia,February,2015
1338,,1338T-Dog_p1,0,1,,,0,0,0,1,Moscow,,Russia,March,2015
1339,,1339T-Dog_p1,0,1,,,0,0,0,1,Moscow,,Russia,February,2015
1346,1346H-Dog_p1,1346T-Dog_p1,1,1,,,0,0,1,1,Manizales,,Colombia,June,2015
1349,1349H-Dog_p1,1349T-Dog_p1,1,1,,,0,0,1,1,Manizales,,Colombia,June,2015
1350,1350H-Dog_p1,1350T-Dog_p1,1,1,,,0,0,1,1,Manizales,,Colombia,June,2015
1355,1355H-Dog_p1,1355T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,April,2015
1356,1356H-Dog_p1,1356T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,April,2015
1360,1360H-Dog_p1,1360T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,April,2015
1361,1361H-Dog_p1,1361T1-Dog_p1|1361T2-Dog_p1,1,2,,,0,0,1,2,Port Elizabeth,,South Africa,May,2015
1363,1363H-Dog_p1,1363T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,May,2015
1364,1364H-Dog_p1,1364T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,May,2015
1532,,,0,0,,1532Ta-Dog_p2,0,1,0,1,Manizales,Caldas,Colombia,November/December,2015
1540,1540H2-Dog_p1,1540T-Dog_p1,1,1,1540H2-Dog_p2,1540T-Dog_p2,1,1,2,2,Manizales,Caldas,Colombia,November/December,2015
1541,1541H-Dog_p1,1541T-Dog_p1,1,1,1541H-Dog_p2,1541T-Dog_p2,1,1,2,2,Port Elizabeth,,South Africa,November,2015
